principal_investigator_id,principal_investigator_name,college,department,total_proposals,awarded_proposals,decided_proposals,total_awarded_funding,proposal_success_rate
PI-0136,Dr. Jose Schultz,College of Education,Curriculum and Instruction,8,7,7,5961499.01,100.0
PI-0146,Dr. Joyce Solis,College of Arts and Sciences,Chemistry,14,10,12,5325063.51,83.33
PI-0010,Dr. Ryan Munoz,College of Agriculture,Plant and Soil Sciences,18,11,16,5284952.09,68.75
PI-0175,Dr. Nicole Herring,College of Education,Educational Leadership,11,8,11,4980061.68,72.73
PI-0100,Dr. Stephen Mckee,College of Agriculture,Plant and Soil Sciences,16,10,13,4891057.33,76.92
PI-0056,Dr. Michael Lewis,College of Arts and Sciences,Physics,13,8,12,4757933.14,66.67
PI-0108,Dr. Sierra Johnson,College of Engineering,Civil Engineering,18,9,15,4717147.91,60.0
PI-0079,Dr. Steve Sanchez,College of Agriculture,Agricultural Economics,16,9,14,4597550.38,64.29
PI-0063,Dr. Connor West,College of Education,Curriculum and Instruction,14,7,12,4357400.67,58.33
PI-0019,Dr. Lisa Jackson,College of Business,Management,14,7,12,4267692.64,58.33
PI-0043,Dr. Sherry Decker,College of Engineering,Electrical Engineering,14,7,10,4123905.11,70.0
PI-0088,Dr. Christopher Bass,College of Engineering,Computer Science,13,8,12,4062490.59,66.67
PI-0014,Dr. Michele Williams,College of Business,Management,17,7,15,3957380.25,46.67
PI-0040,Dr. Brittany Farmer,College of Education,Curriculum and Instruction,7,5,7,3849530.3,71.43
PI-0069,Dr. James Brown,College of Engineering,Mechanical Engineering,12,7,11,3829030.79,63.64
PI-0072,Dr. Whitney Peters,College of Education,Educational Leadership,12,6,8,3675467.28,75.0
PI-0162,Dr. Jennifer Adkins,College of Education,Educational Leadership,16,8,14,3529634.4,57.14
PI-0163,Dr. Lindsey Walker,College of Arts and Sciences,Biology,9,6,8,3520655.66,75.0
PI-0178,Dr. Michael Wang,College of Engineering,Electrical Engineering,13,7,11,3511367.65,63.64
PI-0111,Dr. Richard Rodriguez,College of Medicine,Public Health,10,2,9,3476895.88,22.22
